City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Sao Jose De Ribamar,BR,-2.5619,-44.0542,82.78,81,99,16.55,overcast clouds
323,Urengoy,RU,65.9667,78.3667,31.32,88,7,6.87,clear sky
324,Meulaboh,ID,4.1363,96.1285,75.88,92,100,9.86,overcast clouds
325,Alice Springs,AU,-23.7,133.8833,60.35,29,3,6.91,clear sky
326,Navahrudak,BY,53.6,25.8333,46.54,96,4,9.62,clear sky
327,Izhma,RU,65.0083,53.9113,43.41,79,100,12.44,overcast clouds
328,Parintins,BR,-2.6283,-56.7358,83.34,52,70,0.87,broken clouds
329,Honiara,SB,-9.4333,159.95,83.95,72,17,4.76,few clouds
330,Qasigiannguit,GL,68.8193,-51.1922,23.25,87,5,3.85,clear sky
331,Wasilla,US,61.5814,-149.4394,42.53,88,75,0.0,broken clouds
332,Lensk,RU,60.7253,114.9278,38.07,79,100,14.32,overcast clouds
333,Hamilton,US,39.1834,-84.5333,70.05,46,1,1.99,clear sky
334,Sadovoye,RU,47.7764,44.5089,51.78,82,52,10.29,broken clouds
335,Vechelde,DE,52.2604,10.3649,63.54,91,77,5.55,broken clouds
336,Iquique,CL,-20.2208,-70.1431,60.84,75,29,9.44,scattered clouds
337,Yeppoon,AU,-23.1333,150.7333,69.58,66,62,2.1,broken clouds
338,Nijar,ES,36.9665,-2.206,68.65,83,0,5.75,clear sky
339,Ferrandina,IT,40.5012,16.4547,63.99,56,24,1.48,few clouds
340,Coihaique,CL,-45.5752,-72.0662,45.21,70,90,11.5,shower rain
341,Paka,MY,4.6374,103.4368,76.93,100,75,0.0,broken clouds
342,Touros,BR,-5.1989,-35.4608,79.7,80,11,15.21,few clouds
343,Maunatlala,BW,-22.597,27.6301,68.77,35,0,5.41,clear sky
