City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Rio Cuarto,AR,2021-09-23 21:14:17,-33.1307,-64.3499,71.37,24,0,6.91
240,Kapoeta,SS,2021-09-23 21:14:18,4.7717,33.5903,81.46,40,94,6.06
241,Kudahuvadhoo,MV,2021-09-23 21:05:07,2.6708,72.8944,82.81,76,100,16.15
242,Urusha,RU,2021-09-23 21:05:14,54.05,122.9,44.58,96,97,3.38
243,Constantine,DZ,2021-09-23 21:14:19,36.365,6.6147,82.81,32,100,5.97
244,Rio Grande,BR,2021-09-23 21:14:19,-32.035,-52.0986,64.51,90,100,6.2
245,Julio De Castilhos,BR,2021-09-23 21:14:20,-29.2269,-53.6817,60.28,92,100,3.24
246,Adamas,GR,2021-09-23 21:14:20,36.7333,24.4333,65.62,56,1,24.14
247,Half Moon Bay,US,2021-09-23 21:14:20,37.4636,-122.4286,99.25,60,75,11.5
248,Chuy,UY,2021-09-23 21:14:21,-33.6971,-53.4616,55.81,93,94,6.4
249,Lagoa,PT,2021-09-23 21:14:21,39.05,-27.9833,69.12,63,100,10.98
250,Mishan,CN,2021-09-23 21:14:22,45.55,131.8833,41.95,80,0,4.18
251,Nang Rong,TH,2021-09-23 21:14:22,14.6377,102.7914,73.98,95,100,5.32
252,Sarangani,PH,2021-09-23 21:14:23,5.4033,125.4636,82.49,74,33,3.33
253,Manado,ID,2021-09-23 21:14:23,1.487,124.8455,74.17,94,20,1.14
254,Saldanha,ZA,2021-09-23 21:14:23,-33.0117,17.9442,57.11,92,100,3.71
255,Yaan,NG,2021-09-23 21:04:32,7.3833,8.5667,75.33,90,92,2.77
256,Lima,PE,2021-09-23 21:10:13,-12.0432,-77.0282,61.14,77,90,6.91
257,Maketu,NZ,2021-09-23 21:14:25,-37.7667,176.45,59.95,89,66,13.78
258,Elk Plain,US,2021-09-23 21:14:25,47.0532,-122.3976,70.56,71,75,1.01
259,Requena,ES,2021-09-23 21:14:26,39.4883,-1.1004,65.98,84,100,9.91
260,San Cristobal,VE,2021-09-23 21:11:12,7.7669,-72.225,78.98,82,100,5.86
261,Tucupita,VE,2021-09-23 21:14:26,9.0622,-62.051,88.32,57,54,4.32
262,Raudeberg,NO,2021-09-23 21:14:27,61.9875,5.1352,46.0,92,98,1.01
263,Vardo,NO,2021-09-23 21:14:27,70.3705,31.1107,43.0,76,39,22.1
264,Douentza,ML,2021-09-23 21:14:28,14.9951,-2.9517,90.72,40,85,4.97
265,Rajpipla,IN,2021-09-23 21:14:28,21.8667,73.5,75.65,95,14,5.53
266,Kanel,SN,2021-09-23 21:14:29,15.4916,-13.1763,87.46,59,100,5.32
267,Alindao,CF,2021-09-23 21:14:29,5.0267,21.2088,70.52,98,100,2.19
268,Jambi,ID,2021-09-23 21:05:23,-1.6,103.6167,73.99,97,92,2.68
269,Mirpur Sakro,PK,2021-09-23 21:14:30,24.5474,67.6277,82.62,80,100,13.78
